alacritty 0.17.0-1
amd-ucode 20260910-1
audacity 1:3.7.9-1
base 3-3
base-devel 1-2
bluetui 0.8.1-2
bluez 5.87-2
bluez-utils 5.87-2
brightnessctl 0.5.1-3
btop 1.4.7-1
btrfs-progs 7.1-1
caddy 2.11.4-1
chromium 153.0.8010.36-1
cups 2:2.4.19-1
cups-pk-helper 0.2.7-2
discord 1:1.0.157-1
efibootmgr 18-4
fd 10.5.0-3
flatpak 1:1.18.2-1
fvm 4.3.1-1
fzf 0.74.4-1
gcc 16.2.1+r23+gd564253eb6c8-1
gimp 3.2.6-1
git 2.55.0-1
gnome-calculator 50.0-1
grub 2:2.14-1
grub-btrfs 4.14-1
gst-plugin-pipewire 1:1.6.8-1
gst-plugins-bad 1.28.7-1
gst-plugins-good 1.28.7-1
gst-plugins-ugly 1.28.7-1
gtk4-layer-shell 1.3.0-1
gvfs 1.60.3-1
hledger 1.52.1-58
hyprland 0.56.2-3
hyprpaper 0.8.4-8
hyprpicker 0.4.7-4
hyprshot 1.3.0-4
imagemagick 7.1.2.31-1
impala 0.9.0-1
imv 5.0.1-2
inetutils 2.8-1
inotify-tools 4.25.9.0-1
iwd 3.12-1
jq 1.8.2-1
kdeconnect 26.08.1-1
kdenlive 26.08.1-1
lazygit 0.65.0-1
libinput-tools 1.31.3-1
libpulse 17.0+r98+gb096704c0-1
libqalculate 5.12.0-1
libreoffice-fresh 26.8.0-2
linux 7.2.4.arch1-2
linux-firmware 20260910-1
lvm2 2.03.42-1
mako 1.11.0-1
man-db 2.13.1-2
mkinitcpio 42-1
moonlight-qt 6.1.0-7
neovim 0.12.5-1
networkmanager 1.58.1-1
noto-fonts 1:2026.09.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
nvm 0.40.7-1
nwg-look 1.1.1-3
obsidian 1.13.7-2
opencode 1.18.29-1
openssh 10.5p1-1
pipewire 1:1.6.8-1
pipewire-alsa 1:1.6.8-1
pipewire-jack 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
plymouth 26.134.222-2
poppler-glib 26.08.0-1
power-profiles-daemon 0.30-1
protobuf 36.1-1
qbittorrent 5.2.3-3
quickshell 0.3.1-1
rclone 1.75.1-1
satty 0.22.0-1
sddm 0.21.0-7
snapper 0.13.1-3
sof-firmware 2025.12.2-1
steam 1.0.0.87-3
sudo 1.9.17.p2-6
system-config-printer 1.5.18-7
thunar 4.20.9-1
trash-cli 0.24.5.26-3
tree 2.3.2-1
tree-sitter-cli 0.26.9-1
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-jetbrains-mono-nerd 3.5.1-2
ttf-liberation 2.1.5-2
tumbler 4.20.2-1
ufw 0.36.2-7
unzip 6.0-23
vlc 3.0.23_2-14
vlc-plugins-all 3.0.23_2-14
which 2.25-1
wiremix 0.11.0-1
wireplumber 0.5.17-1
wl-clipboard 1:2.3.0-1
xdg-desktop-portal-hyprland 1.4.1-2
xdg-user-dirs 0.20-1
zathura 2026.07.18-1
zathura-pdf-mupdf 2026.07.18-2
zerotier-one 1.16.2-1
zip 3.0-14
zram-generator 1.2.1-1
